Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
The Prodigy,Nicholas McCarthy,Tripp Vinson,Bridger Nielson,,92.0,2019-02-08,Orion Pictures,English,Jeff Buhler,"['Taylor Schilling', 'Jackson Robert Scott', 'Colm Feore']","['Tom Elkins', 'Brian Ufberg']",Joseph Bishara,"['Vinson Films', 'XYZ Films']",,,6000000.0,21100000.0,Success,2019,,
Isn't It Romantic,Todd Strauss-Schulson,"['Todd Garner', 'Grant Scharbo', 'Gina Matthews']",Simon Duggan,United States,89.0,2019-02-13,"['Warner Bros. Pictures (United States, Canada and Argentina)', 'Netflix (International)']",English,"['Erin Cardillo', 'Dana Fox', 'Katie Silberman']","['Rebel Wilson', 'Liam Hemsworth', 'Adam DeVine', 'Priyanka Chopra Jonas']",Andrew Marcus,John Debney,"['New Line Cinema', 'Bron Creative', 'Camp Sugar', 'Little Engine', 'Broken Road Productions']",,Erin Cardillo,31000000.0,48800000.0,Failure,2019,,
Happy Death Day 2U,Christopher Landon,Jason Blum,Toby Oliver,United States,100.0,2019-02-13,Universal Pictures,English,Christopher Landon,"['Jessica Rothe', 'Israel Broussard', 'Suraj Sharma', 'Steve Zissis']",Ben Baudhuin,Bear McCreary,Blumhouse Productions,"['Characters', 'by ', 'Scott Lobdell']",,9000000.0,64599999.99999999,Success,2019,,
Alita: Battle Angel,Robert Rodriguez,"['James Cameron', 'Jon Landau']",Bill Pope,United States,122.0,2019-01-31,20th Century Fox,English,"['James Cameron', 'Laeta Kalogridis']","['Rosa Salazar', 'Christoph Waltz', 'Jennifer Connelly', 'Mahershala Ali', 'Ed Skrein', 'Jackie Earle Haley', 'Keean Johnson']","['Stephen E. Rivkin', 'Ian Silverstein']",Tom Holkenborg,"['20th Century Fox', 'Lightstorm Entertainment', 'Troublemaker Studios', 'TSG Entertainment']","['Gunnm', 'by ', 'Yukito Kishiro']",,150000000.0,405000000.0,Success,2019,,
How to Train Your Dragon: The Hidden World,Dean DeBlois,"['Bonnie Arnold', 'Brad Lewis']",,United States,104.0,2019-01-03,Universal Pictures,English,Dean DeBlois,"['Jay Baruchel', 'America Ferrera', 'F. Murray Abraham', 'Cate Blanchett', 'Craig Ferguson']",John K. Carr,John Powell,DreamWorks Animation,"['How to Train Your Dragon', 'by ', 'Cressida Cowell']",,129000000.0,525700000.00000006,Success,2019,,
Fighting with My Family,Stephen Merchant,"['Kevin Misher', 'Dwayne Johnson', 'Dany Garcia', 'Stephen Merchant', 'Michael J. Luisi']",Remi Adefarasin,,108.0,2019-01-28,"['Metro-Goldwyn-Mayer (North America)', 'Lionsgate UK (United Kingdom and Ireland)', 'Universal Pictures (International)']",English,Stephen Merchant,"['Florence Pugh', 'Lena Headey', 'Nick Frost', 'Jack Lowden', 'Vince Vaughn', 'Dwayne Johnson']",Nancy Richardson,"['Vik Sharma', 'Graham Coxon']","['Metro-Goldwyn-Mayer', 'Film4 Productions', 'The Ink Factory', 'Seven Bucks Productions', 'Misher Films', 'WWE Studios']","['The Wrestlers: Fighting with My Family', 'by Max Fisher']",,11000000.0,41500000.0,Success,2019,,
A Madea Family Funeral,Tyler Perry,"['Ozzie Areu', 'Will Areu', 'Mark E. Swinton']",Richard Vialet,United States,109.0,2019-03-01,Lionsgate,English,Tyler Perry,"['Cassi Davis', 'Patrice Lovely', 'Tyler Perry']",Larry Sexton,Philip White,Tyler Perry Studios,,,20000000.0,75800000.0,Success,2019,,
Captain Marvel,"['Anna Boden', 'Ryan Fleck']",Kevin Feige,Ben Davis,United States,124.0,2019-02-27,"['Walt Disney Studios', 'Motion Pictures']",English,"['Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet']","['Brie Larson', 'Samuel L. Jackson', 'Ben Mendelsohn', 'Djimon Hounsou', 'Lee Pace', 'Lashana Lynch', 'Gemma Chan', 'Annette Bening', 'Clark Gregg', 'Jude Law']","['Elliot Graham', 'Debbie Berman']",Pinar Toprak,Marvel Studios,Marvel Comics,"['Nicole Perlman', 'Meg LeFauve', 'Anna Boden', 'Ryan Fleck', 'Geneva Robertson-Dworet']",152000000.0,1131000000.0,Success,2019,,
The Kid,Vincent D'Onofrio,"['Jordan Schur', 'Nick Thurlow', 'Sam Maydew', 'David Mimran']",Matthew J. Lloyd,United States,96.0,2019-03-08,Lionsgate,English,Andrew Lanham,"['Ethan Hawke', 'Dane DeHaan', 'Jake Schur', 'Leila George', 'Adam Baldwin', 'Chris Pratt']",Katharine McQuerrey,"['Latham Gaines', 'Shelby Gaines']",Suretone Pictures,,"[""Vincent D'Onofrio"", 'Andrew Lanham']",7000000.0,1600000.0,Failure,2019,,
Wonder Park,Dylan Brown,"['Josh Appelbaum', 'André Nemec', 'Kendra Haaland']",Juan García González,,85.0,2019-03-15,Paramount Pictures,English,"['Josh Appelbaum', 'André Nemec']","['Jennifer Garner', 'Matthew Broderick', 'John Oliver', 'Mila Kunis', 'Kenan Thompson']",Edie Ichioka,Steven Price,"['Paramount Animation', 'Nickelodeon Movies', 'Ilion Animation Studios']",,"['Robert Gordon', 'Josh Appelbaum', 'André Nemec']",80000000.0,119600000.0,Failure,2019,,
