Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status,Release Year,Trailer ID,Trailer Title
Daybreakers,The Spierig Brothers,"['Chris Brown', 'Sean Furst', 'Bryan Furst']",Ben Nott,,98.0,2009-09-11,"['Lionsgate (United States)', 'Hoyts Distribution', ' (Australia)']",English,The Spierig Brothers,"['Ethan Hawke', 'Willem Dafoe', 'Claudia Karvan', 'Michael Dorman', 'Sam Neill', 'Vince Colosimo', 'Isabel Lucas']",Matt Villa,Christopher Gordon,"['Lionsgate', 'Screen Australia', 'Pictures in Paradise', 'Film Finance Corporation Australia', 'Pacific Film & Television Commission', 'Furst Films']",,,20000000.0,51400000.0,Success,2009,U6NmZS9CTKE,
Leap Year,Anand Tucker,"['Gary Barber', 'Chris Bender', 'Roger Birnbaum', 'Jonathan Glickman', 'Jake Weiner']",Newton Thomas Sigel,,100.0,2010-01-06,"['Universal Pictures (United States)', 'Optimum Releasing (United Kingdom and Ireland)']",English,"['Harry Elfont', 'Deborah Kaplan']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow']",Nick Moore,Randy Edelman,"['Spyglass Entertainment', 'BenderSpink']",,,19000000.0,32700000.000000004,Failure,2010,HrlQBsd8LsE,
Youth in Revolt,Miguel Arteta,David Permut,Chuy Chávez,United States,89.0,2009-10-19,Dimension Films,English,Gustin Nash,"['Michael Cera', 'Portia Doubleday', 'Jean Smart', 'Mary Kay Place', 'Justin Long', 'Fred Willard', 'Ray Liotta', 'Steve Buscemi']","['Pamela Martin', 'Andy Keir']",John Swihart,"['Permut', 'Shangri-La Entertainment']","['Youth in Revolt', 'by ', 'C.D. Payne']",,18000000.0,19700000.0,Failure,2009,1gBnVf130uU,
Wonderful World,Joshua Goldin,"['Miranda Bailey', 'Matthew Leutwyler', 'Glenn Williamson']",Daniel Shulman,United States,89.0,2009-04-27,Magnolia Pictures,English,Joshua Goldin,"['Matthew Broderick', 'Sanaa Lathan', 'Michael K. Williams', 'Jodelle Ferland', 'Jesse Tyler Ferguson', 'Ally Walker', 'Philip Baker Hall']",Jeff Canavan,Craig Richey,"['Ambush Entertainment', 'Back Lot Pictures', 'Cold Iron Pictures']",,,3000000.0,9309.0,Failure,2009,n2_4asPVgOQ,
The Book of Eli,The Hughes Brothers,"['Joel Silver', 'Denzel Washington', 'Broderick Johnson', 'Andrew A. Kosove', 'David Valdes']",Don Burgess,United States,118.0,2010-01-15,"['Warner Bros. Pictures', ' (North America)', 'Summit Entertainment', ' (International)']",English,Gary Whitta,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Frances de la Tour', 'Michael Gambon']",Cindy Mollo,"['Atticus Ross', 'Leopold Ross', 'Claudia Sarne']","['Alcon Entertainment', 'Silver Pictures']",,,80000000.0,157100000.0,Failure,2010,zSMHmtaoXtI,
The Spy Next Door,Brian Levant,Robert Simonds,Dean Cundey,United States,94.0,2009-12-22,"['Lionsgate', ' (United States)', 'Mandate Pictures', ' (International)']",English,"['Jonathan Bernstein', 'James Greer', 'Gregory Poirier']","['Jackie Chan', 'Amber Valletta', 'Madeline Carroll', 'Will Shadley', 'Magnús Scheving', 'Billy Ray Cyrus', 'George Lopez']",Lawrence Jordan,David Newman,Relativity Media,,"['Jonathan Bernstein', 'James Greer']",28000000.0,45200000.0,Failure,2009,fa2RZf0m39g,
Fish Tank,Andrea Arnold,"['Nick Laws', 'Kees Kasander']",Robbie Ryan,United Kingdom,123.0,2009-05-14,Curzon Artificial Eye,English,Andrea Arnold,"['Katie Jarvis', 'Michael Fassbender', 'Kierston Wareing', 'Rebecca Griffiths', 'Harry Treadaway', 'Sydney Mary Nash']",Nicolas Chaudeurge,Steel Pulse,"['BBC Films', 'UK Film Council', 'Kasander Film Company', 'Limelight Communication', 'ContentFilm']",,,3000000.0,5900000.0,Failure,2009,_u6pg8fuSB4,
Extraordinary Measures,Tom Vaughan,"['Michael Shamberg', 'Stacey Sher', 'Carla Santos']",Andrew Dunn,United States,106.0,2010-01-22,"['CBS Films', ' (North America)', 'Sony Pictures Releasing International', ' (International)']",English,Robert Nelson Jacobs,"['Brendan Fraser', 'Harrison Ford', 'Keri Russell']",Anne V. Coates,Andrea Guerra,Double Feature Films,"['The Cure: How a Father Raised $100 Million — And Bucked the Medical Establishment — in a Quest to Save His Children', 'by ', 'Geeta Anand']",,31000000.0,15000000.0,Failure,2010,cmnMdwYAhTY,
Legion,Scott Stewart,"['David Lancaster', 'Michel Litvak']",John Lindley,United States,100.0,2010-01-22,Sony Pictures Releasing,English,"['Peter Schink', 'Scott Stewart']","['Paul Bettany', 'Lucas Black', 'Tyrese Gibson', 'Adrianne Palicki', 'Charles S. Dutton', 'Jon Tenney', 'Kevin Durand', 'Willa Holland', 'Kate Walsh', 'Dennis Quaid']",Steven Kemper,John Frizzell,"['Screen Gems', 'Bold Films']",,,26000000.0,67900000.0,Success,2010,P6p01-in6-k,
Tooth Fairy,Michael Lembeck,"['Mark Ciardi', 'Gordon Gray', 'Jason Blum']",David Tattersall,,101.0,2010-01-22,20th Century Fox,English,"['Lowell Ganz', 'Babaloo Mandel', 'Joshua Sternin', 'Jennifer Ventimilia', 'Randi Mayem Singer']","['Dwayne Johnson', 'Ashley Judd', 'Julie Andrews']",David Finfer,George S. Clinton,"['Walden Media', 'Mayhem Pictures', 'Blumhouse Productions', 'Dune Entertainment']",,Jim Piddock,48000000.0,112500000.0,Success,2010,JqnjK79fGSw,
The Girl on the Train,André Téchiné,,Julien Hirsch,France,105.0,2009-03-18,Strand Releasing,French,"['André Téchiné', 'Odile Barski ', 'Jean-Marie Besset (play)']","['Emilie Dequenne', ' ', 'Catherine Deneuve', ' ', 'Michel Blanc']",Martine Giordano,Philippe Sarde,,,,5800000.0,1500000.0,Failure,2009,TyZvFLRpRew,
To Save a Life,Brian Baugh,Jim Britts,C. Clifford Jones,United States,120.0,2009-11-05,Samuel Goldwyn Films,English,Jim Britts,"['Randy Wayne', 'Deja Kreutzberg', 'Joshua Wiegel']",Dan O'Brien,Timothy Michael Wynn,"['New Song Pictures', 'Outreach Films', 'Accelerated Entertainment']",,,500000.0,3700000.0,Success,2009,1o56pazEh-Q,
Edge of Darkness,Martin Campbell,"['Graham King', 'Tim Headington', 'Michael Wearing']",Phil Meheux,,117.0,2010-01-29,"['Warner Bros. Pictures (North America, Latin America and Spain)', 'Icon Film Distribution (United Kingdom, Australia and New Zealand)']",English,"['William Monahan', 'Andrew Bovell']","['Mel Gibson', 'Ray Winstone', 'Danny Huston', 'Bojana Novakovic']",Stuart Baird,Howard Shore,GK Films,"['Edge of Darkness', 'by ', 'Troy Kennedy Martin']",,80000000.0,81100000.0,Failure,2010,hVOH8xrCI9I,
When in Rome,Mark Steven Johnson,"['Mark Steven Johnson ', 'Gary Foster ', 'Andrew Panay']",John Bailey,United States,91.0,2010-01-29,"['Walt Disney Studios', 'Motion Pictures']",English,"['Mark Steven Johnson ', 'David Diamond', ' ', 'David Weissman']","['Kristen Bell', ' ', 'Josh Duhamel', ' ', 'Will Arnett', ' ', 'Jon Heder', ' ', 'Dax Shepard', ' ', 'Danny DeVito', ' ', 'Anjelica Huston']",Ryan Folsey,Christopher Young,Touchstone Pictures,,,28000000.0,43000000.0,Failure,2010,5oImkzL6o_o,
Preacher's Kid,Stan Foster,"['Marc Bienstock', 'Richard J. Cook', 'Matthew Crouch', 'Stan Foster', 'Darryl Taja']",Dave Perkal,United States,110.0,2010-01-29,Warner Premiere,English,Stan Foster,"['LeToya Luckett', ""Rae'Ven Larrymore Kelly"", 'Kiki Sheard', 'Durrell ""Tank"" Babbs', 'Clifton Powell', 'Gregory Alan Williams', 'Sharif Atkins', 'Trey Songz', 'Tammy Townsend', 'Essence Atkins', 'Ella Joyce']",Richard Nord,,Gener8Xion Entertainment,,,3000000.0,515065.0,Failure,2010,yNbXH34dIOw,
Saint John of Las Vegas,Hue Rhodes,"['Mark Burton', 'Matt Wall', 'Spike Lee', 'Steve Buscemi', 'Stanley Tucci']",Giles Nuttgens,United States,85.0,2009-06-10,IndieVest Pictures,English,Hue Rhodes,"['Steve Buscemi', 'Romany Malco', 'Sarah Silverman', 'Peter Dinklage', 'Tim Blake Nelson']",Annette Davey,David Torn,Circle of Confusion,,Dante Alighieri,2000000.0,102647.0,Failure,2009,aPTm_TyCULk,
Ajami,"['Scandar Copti', 'Yaron Shani']","['Moshe Danon', 'Thanassis Karathanos', 'Talia Kleinhendler']",Boaz Yehonatan Yaacov,,120.0,2009-05-22,,,"['Scandar Copti', 'Yaron Shani']","['Fouad Habash', 'Ibrahim Frege', 'Scandar Copti', 'Shahir Kabaha', 'Eran Naim']","['Scandar Copti', 'Yaron Shani']",Rabih Boukhari,,,,1000000.0,2200000.0,Failure,2009,Q6M-ng9XLyU,
Dear John,Lasse Hallström,"['Marty Bowen', 'Wyck Godfrey', 'Ryan Kavanaugh']",Terry Stacey,United States,107.0,2010-02-05,"['Sony Pictures Releasing (United States)', 'Lionsgate (International)']",English,Jamie Linden,"['Channing Tatum', 'Amanda Seyfried', 'Henry Thomas', 'Scott Porter', 'Richard Jenkins']",Kristina Boden,Deborah Lurie,"['Screen Gems', 'Relativity Media', 'Temple Hill Entertainment']","['Dear John', 'by ', 'Nicholas Sparks']",,25000000.0,115000000.0,Success,2010,r0fq5dd0C60,
From Paris with Love,Pierre Morel,India Osborne,Michel Abramowicz,France,92.0,2010-02-05,EuropaCorp Distribution,,Adi Hasak,"['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak', 'Richard Durden']",Frédéric Thoraval,David Buckley,"['EuropaCorp', 'M6', 'Eclair Films', 'Canal+']",,Luc Besson,52000000.0,52830951.0,Failure,2010,nrcej3bN8QA,
District 13: Ultimatum,Patrick Alessandrin,Luc Besson,Jean-François Hensgens,France,106.0,2009-02-18,EuropaCorp,French,Luc Besson,"['Cyril Raffaelli', 'David Belle', 'Philippe Torreton', 'Daniel Duval', 'Élodie Yung']",,"['Da Octopusss', 'Trak Invaders']","['EuropaCorp', 'TF1 Films Production', 'CiBy 2000']",,,13600000.0,14100000.0,Failure,2009,jDDFNpj9xBQ,
Shinjuku Incident,Derek Yee,"['Willie Chan', 'Solon So']",Kita Nobayasu,,119.0,2009-04-02,"['JCE Movies Limited', 'Lark Films Distribution']",,"['Derek Yee', 'Chun Tin-nam']","['Jackie Chan', 'Naoto Takenaka', 'Daniel Wu', 'Xu Jinglei', 'Fan Bingbing']","['Kong Chi-leung', 'Cheung Ka-fai']",Peter Kam,,,,15000000.0,5461200.0,Failure,2009,tY0jZIeuFAc,
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"['Karen Rosenfelt', 'Chris Columbus', 'Michael Barnathan', 'Mark Radcliffe']",Stephen Goldblatt,,119.0,2010-02-02,20th Century Fox,English,Craig Titley,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Sean Bean', 'Pierce Brosnan', 'Steve Coogan', 'Rosario Dawson', 'Catherine Keener', 'Kevin McKidd', 'Joe Pantoliano', 'Uma Thurman']",Peter Honess,Christophe Beck,"['Fox 2000 Pictures', 'Dune Entertainment', '1492 Pictures', 'Sunswept Entertainment']","['The Lightning Thief', 'by ', 'Rick Riordan']",,95000000.0,226400000.0,Success,2010,R86InkfdboA,
Valentine's Day,Garry Marshall,"['Mike Karz', 'Wayne Allan Rice']",Charles Minsky,United States,125.0,2010-02-12,Warner Bros. Pictures,English,Katherine Fugate,"['Jessica Alba', 'Kathy Bates', 'Jessica Biel', 'Bradley Cooper', 'Eric Dane', 'Patrick Dempsey', 'Héctor Elizondo', 'Jamie Foxx', 'Jennifer Garner', 'Topher Grace', 'Anne Hathaway', 'Ashton Kutcher', 'Queen Latifah', 'Taylor Lautner', 'George Lopez', 'Shirley MacLaine', 'Emma Roberts', 'Julia Roberts', 'Taylor Swift']",Bruce Green,John Debney,"['New Line Cinema', 'Wayne Rice Films', 'Karz Entertainment']",,"['Katherine Fugate', 'Abby Kohn', 'Marc Silverstein']",52000000.0,216500000.0,Success,2010,1K45RdE2qlk,
The Wolfman,Joe Johnston,"['Scott Stuber', 'Benicio del Toro', 'Rick Yorn', 'Sean Daniel']",Shelly Johnson,United States,103.0,2010-01-27,Universal Pictures,English,"['Andrew Kevin Walker', 'David Self']","['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving']","['Dennis Virkler', 'Walter Murch']",Danny Elfman,"['Universal Pictures', 'Relativity Media', 'Stuber Pictures']","['The Wolf Man', 'by ', 'Curt Siodmak']",,150000000.0,142600000.0,Failure,2010,5JB1NY2xut8,
Lourdes,Jessica Hausner,"['Philippe Bober', 'Martin Gschlacht', 'Susanne Marian']",Martin Gschlacht,,96.0,2009-09-05,Sophie Dulac Distribution,French,Jessica Hausner,"['Sylvie Testud', 'Léa Seydoux', 'Bruno Todeschini', 'Elina Löwensohn']",Karina Ressler,,,,,2000000.0,530000.0,Failure,2009,4Dw0blEi9YA,
The Ghost Writer,Roman Polanski,"['Roman Polanski', 'Robert Benmussa', 'Alain Sarde']",Paweł Edelman,,128.0,2010-02-12,"['Optimum Releasing', ' ', '(United Kingdom)', 'Pathé Distribution', ' ', '(France and Switzerland)', 'Kinowelt Filmverleih', ' ', '(Germany)']",English,"['Robert Harris', 'Roman Polanski']","['Ewan McGregor', 'Pierce Brosnan', 'Kim Cattrall', 'Olivia Williams', 'Tom Wilkinson', 'Timothy Hutton', 'Jon Bernthal', 'David Rintoul', 'Robert Pugh', 'Eli Wallach']",Hervé de Luze,Alexandre Desplat,,"['The Ghost', 'by Robert Harris']",,45000000.0,60200000.0,Failure,2010,B3NrIz5lwVo,
Shutter Island,Martin Scorsese,"['Mike Medavoy', 'Arnold W. Messer', 'Bradley J. Fischer', 'Martin Scorsese']",Robert Richardson,United States,139.0,2010-02-13,Paramount Pictures,English,Laeta Kalogridis,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Max von Sydow']",Thelma Schoonmaker,,"['Phoenix Pictures', 'Sikelia Productions', 'Appian Way Productions']","['Shutter Island', 'by ', 'Dennis Lehane']",,80000000.0,294800000.0,Success,2010,v8yrZSkKxTA,
The Good Guy,Julio DePietro,"['Linda Moran', 'Rene Bastian', 'Julio DePietro']",,United States,91.0,2009-04-26,Roadside Attractions,English,Julio DePietro,"['Alexis Bledel', 'Scott Porter', 'Bryan Greenberg', 'Andrew McCarthy', 'Aaron Yoo']",Ray Hubley,Kurt Oldman and Tomandandy,Belladonna Productions Movie Studio,,,10000000.0,106460.0,Failure,2009,3rE3mPAtnWA,
Cop Out,Kevin Smith,"['Marc Platt', 'Polly Johnsen', 'Michael Tadross']",David Klein,United States,107.0,2010-02-26,Warner Bros. Pictures,English,"['Robb Cullen', 'Mark Cullen']","['Bruce Willis', 'Tracy Morgan', 'Adam Brody', 'Kevin Pollak', 'Guillermo Diaz', 'Seann William Scott']",Kevin Smith,Harold Faltermeyer,"['Warner Bros. Pictures', 'Marc Platt Productions']",,,30000000.0,55600000.0,Failure,2010,22RvcEgrpnE,
The Crazies,Breck Eisner,"['Michael Aguilar', 'Dean Georgaris', 'Rob Cowan']",Maxime Alexandre,,101.0,2010-02-26,"['Overture Films', 'Participant Media (United States)', 'Gulf Film (United Arab Emirates)', 'Paramount Vantage (International)']",English,"['Scott Kosar', 'Ray Wright']","['Timothy Olyphant', 'Radha Mitchell', 'Joe Anderson', 'Danielle Panabaker']",Billy Fox,Mark Isham,"['Overture Films', 'Participant Media', 'Imagenation Abu Dhabi']","['The Crazies', 'by ', 'George A. Romero']",,20000000.0,54800000.0,Success,2010,J7w9uWFIMBs,
Formosa Betrayed,Adam Kane,"['Will Tiao', 'Adam Kane', 'David Cluck']",Irek Hartowicz,United States,103.0,2009-07-24,,English,"['Will Tiao', 'Katie Swain', 'Charlie Stratton', 'Yann Samuell', 'Brian Askew', 'Nathaniel Goodman']","['James Van Der Beek', 'Wendy Crewson', 'John Heard', 'Will Tiao', 'Tzi Ma', 'Leslie Hope', 'Kenneth Tsang']",Howard E. Smith,Jeff Danna,Living Films,,,6000000.0,225000.0,Failure,2009,2KbAGhECVZE,
A Prophet,Jacques Audiard,"['Lauranne Bourrachot', 'Martine Cassinelli', 'Pascal Caucheteux', 'Marco Cherqui']",Stéphane Fontaine,,155.0,2009-05-16,UGC Distribution,,"['Jacques Audiard', 'Thomas Bidegain', 'Abdel Raouf Dafri', 'Nicolas Peufaillit']","['Tahar Rahim', 'Niels Arestrup', 'Adel Bencherif']",Juliette Welfling,Alexandre Desplat,,,Abdel Raouf Dafri,13000000.0,17900000.0,Failure,2009,l69ARbQt-Ko,
Alice in Wonderland,Tim Burton,"['Richard D. Zanuck', 'Joe Roth', 'Suzanne Todd', 'Jennifer Todd']",Dariusz Wolski,United States,108.0,2010-02-25,Walt Disney Studios Motion Pictures,English,Linda Woolverton,"['Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas', 'Mia Wasikowska', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall']",Chris Lebenzon,Danny Elfman,"['Walt Disney Pictures', 'Roth Films', 'The Zanuck Company', 'Team Todd']","[""Alice's Adventures in Wonderland"", ' and ', 'Through the Looking-Glass', 'by ', 'Lewis Carroll']",,200000000.0,1025000000.0,Success,2010,9POCgSRVvf0,
Brooklyn's Finest,Antoine Fuqua,"['Elie Cohn', 'Basil Iwanyk', 'John Langley', 'John Thompson']",Patrick Murguia,United States,132.0,2009-01-16,Overture Films,English,Michael C. Martin,"['Richard Gere', 'Don Cheadle', 'Ethan Hawke', 'Wesley Snipes', 'Will Patton', 'Lili Taylor', ""Brían F. O'Byrne"", 'Shannon Kane', 'Ellen Barkin']",Barbara Tulliver,Marcelo Zarvos,"['Millennium Films', 'Thunder Road Pictures', 'Nu Image']",,,17000000.0,36400000.0,Failure,2009,HUMC8rh6uuE,
Green Zone,Paul Greengrass,"['Tim Bevan', 'Eric Fellner', 'Lloyd Levin', 'Paul Greengrass']",Barry Ackroyd,United Kingdom,115.0,2010-02-26,"['Universal Pictures (International)', 'StudioCanal (France)']",English,Brian Helgeland,"['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson', 'Amy Ryan', 'Khalid Abdalla', 'Jason Isaacs']",Christopher Rouse,John Powell,Working Title Films,"['Imperial Life in the Emerald City', 'by ', 'Rajiv Chandrasekaran']",,100000000.0,94900000.0,Failure,2010,e3KJ21TLKVE,
Remember Me,Allen Coulter,"['Nicholas Osborne', 'Trevor Engelson', 'Erik Feig', 'Robert Pattinson']",Jonathan Freeman,United States,108.0,2010-03-01,Summit Entertainment,English,Will Fetters,"['Robert Pattinson', 'Emilie de Ravin', 'Chris Cooper', 'Lena Olin', 'Tate Ellington', 'Pierce Brosnan']",Andrew Mondshein,Marcelo Zarvos,Underground Films,,,16000000.0,56000000.0,Success,2010,oRUo4cWejYM,
She's Out of My League,Jim Field Smith,"['Jimmy Miller', 'David Householter']",Jim Denault,United States,104.0,2010-03-12,Paramount Pictures,English,"['Sean Anders', 'John Morris']","['Jay Baruchel', 'Alice Eve', 'T.J. Miller', 'Mike Vogel', 'Nate Torrence', 'Krysten Ritter', 'Geoff Stults', 'Lindsay Sloane']",Dan Schalk,Michael Andrews,"['DreamWorks Pictures', 'Mosaic Media Group']",,,20000000.0,49800000.0,Success,2010,3F0XwZex1jQ,
Monsters,Gareth Edwards,"['Allan Niblo', 'James Richardson']",Gareth Edwards,United Kingdom,94.0,2010-03-13,Vertigo Films,English,Gareth Edwards,"['Scoot McNairy', 'Whitney Able']",['Colin Goudie'],Jon Hopkins,Vertigo Films,,,500000.0,4240000.0,Success,2010,Ol6j9xlQN1w,
The Bounty Hunter,Andy Tennant,Neal H. Moritz,Oliver Bokelberg,United States,106.0,2010-03-19,Sony Pictures Releasing,English,Sarah Thorp,"['Jennifer Aniston', 'Gerard Butler', 'Christine Baranski']",Troy Takaki,George Fenton,"['Columbia Pictures', 'Relativity Media', 'Original Film']",,,45000000.0,136300000.0,Success,2010,KSTJsjEaUaw,
Diary of a Wimpy Kid,Thor Freudenthal,"['Nina Jacobson', 'Brad Simpson']",Jack N. Green,United States,92.0,2010-03-19,20th Century Fox,English,"['Jackie Filgo Jeff Filgo', 'Jeff Judah', 'Gabe Sachs']","['Zachary Gordon', 'Robert Capron', 'Rachael Harris', 'Steve Zahn']",Wendy Greene Bricmont,Theodore Shapiro,"['Fox 2000 Pictures', 'Color Force', 'Dune Entertainment']","['Diary of a Wimpy Kid', 'by ', 'Jeff Kinney']",,15000000.0,76200000.0,Success,2010,VKhCPUa-glo,
Repo Men,Miguel Sapochnik,Scott Stuber,Enrique Chediak,,111.0,2010-03-19,Universal Pictures,,"['Eric Garcia', 'Garrett Lerner']","['Jude Law', 'Forest Whitaker', 'Liev Schreiber', 'Alice Braga', 'Carice van Houten', 'Chandler Canterbury', 'RZA', 'Yvette Nicole Brown']",Richard Francis-Bruce,Marco Beltrami,"['Relativity Media', 'Stuber Pictures']","['The Repossession Mambo', 'by Eric Garcia']",,32000000.0,18400000.0,Failure,2010,P0LkMrPMMhw,
City Island,Raymond De Felitta,"['Raymond De Felitta', 'Andy Garcia', 'Lauren Versel', 'Zachary Matz']",Vanja Cernjul,United States,104.0,2009-03-23,Anchor Bay Films,English,Raymond De Felitta,"['Andy Garcia', 'Julianna Margulies', 'Steven Strait', 'Emily Mortimer', 'Ezra Miller', 'Dominik Garcia-Lorido', 'Alan Arkin']",David Leonard,Jan A.P. Kaczmarek,"['CineSon Entertainment', 'Medici Entertainment', 'NovaStar Digital']",,,6000000.0,7875862.0,Failure,2009,wuQam8fRJrI,
Greenberg,Noah Baumbach,"['Scott Rudin', 'Jennifer Jason Leigh']",Harris Savides,United States,107.0,2010-02-14,Focus Features,English,Noah Baumbach,"['Ben Stiller', 'Greta Gerwig', 'Rhys Ifans', 'Jennifer Jason Leigh']",Tim Streeto,James Murphy,Scott Rudin Productions,,"['Jennifer Jason Leigh', 'Noah Baumbach']",25000000.0,7400000.0,Failure,2010,cwdliqOGTLw,
The Runaways,Floria Sigismondi,"['John Linson', 'Art Linson', 'Bill Pohlad']",Benoît Debie,United States,106.0,2010-01-24,"['Apparition (United States)', 'Summit Entertainment (international)']",English,Floria Sigismondi,"['Dakota Fanning', 'Kristen Stewart', 'Michael Shannon']",Richard Chew,Lillian Berlin,"['River Road Entertainment', 'Linson Entertainment']","['Neon Angel: A Memoir of a Runaway', 'by ', 'Cherie Currie']",,10000000.0,4600000.0,Failure,2010,atUDd3ST3ko,
Hot Tub Time Machine,Steve Pink,"['John Cusack', 'Grace Loh', 'John Morris', 'Matt Moore']",Jack N. Green,United States,99.0,2010-03-26,"['MGM Distribution Co.', ' (United States)', 'Lakeshore International', ' (International)']",English,"['Josh Heald', 'Sean Anders', 'John Morris']","['John Cusack', 'Rob Corddry', 'Craig Robinson', 'Clark Duke', 'Crispin Glover', 'Lizzy Caplan', 'Chevy Chase']","['George Folsey, Jr.', 'James Thomas']",Christophe Beck,"['New Crime Productions', 'Metro-Goldwyn-Mayer', 'United Artists']",,Josh Heald,36000000.0,64599999.99999999,Failure,2010,EM0VwEkxWTg,
How to Train Your Dragon,"['Chris Sanders', 'Dean DeBlois']",Bonnie Arnold,Roger Deakins (visual consultant),United States,98.0,2010-03-21,Paramount Pictures,English,"['Will Davies', 'Dean DeBlois', 'Chris Sanders']","['Jay Baruchel', 'Gerard Butler', 'Craig Ferguson', 'America Ferrera', 'Jonah Hill', 'Christopher Mintz-Plasse', 'T.J. Miller', 'Kristen Wiig']","['Darren Holmes', 'Maryann Brandon']",John Powell,DreamWorks Animation,"['How to Train Your Dragon', 'by ', 'Cressida Cowell']",,165000000.0,494900000.0,Success,2010,2AKsAxrhqgM,
Chloe,Atom Egoyan,"['Joe Medjuck', 'Jeffrey Clifford', 'Ivan Reitman']",Paul Sarossy,,96.0,2009-09-13,"['Sony Pictures Classics (United States)', 'E1 Distribution (Canada)', 'StudioCanal (France)']",English,Erin Cressida Wilson,"['Julianne Moore', 'Liam Neeson', 'Amanda Seyfried', 'Max Thieriot']",Susan Shipton,Mychael Danna,"['The Montecito Picture Company', 'StudioCanal']","['Nathalie...', 'by ', 'Anne Fontaine']",,10000000.0,13600000.0,Failure,2009,QZ8x8mORPmg,
The Last Song,Julie Anne Robinson,"['Adam Shankman', 'Jennifer Gibgot']",John Lindley,United States,107.0,2010-03-31,"['Walt Disney Studios', 'Motion Pictures']",English,"['Nicholas Sparks', 'Jeff Van Wie']","['Miley Cyrus', 'Liam Hemsworth', 'Bobby Coleman', 'Kelly Preston', 'Greg Kinnear']",Nancy Richardson,Aaron Zigman,"['Touchstone Pictures', 'Offspring Entertainment']","['The Last Song', 'by Nicholas Sparks']",,20000000.0,89000000.0,Success,2010,l6Q07mI1EUc,
Clash of the Titans,Louis Leterrier,"['Basil Iwanyk', 'Kevin De La Noy', 'Richard D. Zanuck']",Peter Menzies Jr.,,108.0,2010-04-02,Warner Bros. Pictures,English,"['Travis Beacham', 'Phil Hay', 'Matt Manfredi']","['Sam Worthington', 'Gemma Arterton', 'Mads Mikkelsen', 'Alexa Davalos', 'Ralph Fiennes', 'Liam Neeson']","['Vincent Tabaillon', 'Martin Walsh']",Ramin Djawadi,"['Legendary Pictures', 'The Zanuck Company', 'Thunder Road Pictures']","['Clash of the Titans', 'by ', 'Beverley Cross']",,125000000.0,493200000.0,Success,2010,z7cEL6n24d4,
Why Did I Get Married Too?,Tyler Perry,"['Tyler Perry', 'Reuben Cannon']",Toyomichi Kurita,United States,121.0,2010-04-02,Lionsgate,English,Tyler Perry,"['Janet Jackson', 'Jill Scott', 'Sharon Leal', 'Malik Yoba', 'Richard T. Jones', 'Tasha Smith', 'Lamman Rucker', 'Michael Jai White', 'Louis Gossett Jr.', 'Cicely Tyson', 'Tyler Perry']",Maysie Hoy,Aaron Zigman,Tyler Perry Studios,"['Characters', 'by Tyler Perry']",,20000000.0,60700000.0,Success,2010,H0IgfAs3tWg,
The Greatest,Shana Feste,"['Lynette Howell', 'Beau St. Clair']",John Bailey,United States,98.0,2009-01-17,Paladin,English,Shana Feste,"['Pierce Brosnan', 'Susan Sarandon', 'Carey Mulligan']",Cara Silverman,Christophe Beck,"['Barbarian Film Group', 'Oceana Media Finance', 'Silverwood Films', 'Irish DreamTime']",,,6000000.0,985181.0,Failure,2009,TfjNuq9Yq3s,
Date Night,Shawn Levy,Shawn Levy,Dean Semler,United States,88.0,2010-04-06,20th Century Fox,English,Josh Klausner,"['Steve Carell', 'Tina Fey', 'Taraji P. Henson', 'Common', 'Mark Wahlberg']",Dean Zimmerman,Christophe Beck,"['20th Century Fox', '21 Laps Entertainment', 'Dune Entertainment']",,,55000000.0,152300000.0,Success,2010,aspBKFz2dBI,
Letters to God,"David Nixon , Patrick Doughtie (co-director)","David Nixon, Kim Dawson, Tom Swanson, Art D'Alessandro",Bob Scott,United States,110.0,2010-04-09,Vivendi Entertainment,English,"['Patrick Doughtie', ""Art D'Alessandro"", 'Sandra Thrift', 'Cullen Douglas']","['Robyn Lively', 'Jeffrey S.S. Johnson', 'Maree Cheatham', 'Tanner Maguire', 'Michael Christopher Bolten', 'Bailee Madison', 'Ralph Waite']",Patrick Tyler,Colin O'Malley,Possibility Pictures,,,4000000.0,2900000.0,Failure,2010,teh6phrrxPQ,
