Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
Disconnect,Henry Alex Rubin,"['Mickey Liddell', 'William Horberg', 'Jennifer Hilton']",Ken Seng,United States,115,2012-09-11,LD Entertainment,English,Andrew Stern,"['Jason Bateman', 'Hope Davis', 'Frank Grillo', 'Michael Nyqvist', 'Paula Patton', 'Andrea Riseborough', 'Alexander Skarsgård', 'Max Thieriot', 'Colin Ford', 'Jonah Bobo']",Lee Percy,Max Richter,"['LD Entertainment', 'Exclusive Media Group', 'Wonderful Films']",,,,1500000.0,
It's a Disaster,Todd Berger,"['Kevin M. Brennan', 'Jeff Grace', 'Gordon Bijelonic', 'Brett D. Thompson', 'Datari Turner']","Nancy Schreiber, ASC",United States,88,2012-06-20,Oscilloscope Laboratories,English,Todd Berger,"['Rachel Boston', 'Kevin M. Brennan', 'David Cross', 'America Ferrera', 'Jeff Grace', 'Erinn Hayes', 'Blaise Miller', 'Julia Stiles']",Franklin Peterson,Chris Martins,"['Arms Entertainment', 'Midwinter Studios', 'Vacationeer Productions', 'Cactus Three', 'Tip Top Productions', 'Gordon Bijelonic/Datari Turner Films']",,,,60818.0,
Scary Movie 5,Malcolm D. Lee,"['David Zucker', 'Phil Dornfeld']",Steven Douglas Smith,United States,86,2013-04-12,Dimension Films,English,"['Pat Proft', 'David Zucker']","['Ashley Tisdale', 'Simon Rex', 'Erica Ash', 'Katrina Bowden', 'Terry Crews', 'Heather Locklear', 'J. P. Manoux', 'Mac Miller', ""Jerry O'Connell"", 'Molly Shannon', 'Snoop Dogg', 'Kate Walsh', 'Katt Williams']",Sam Seig,James L. Venable,"['Brad Grey Pictures', 'DZE']","['Characters', 'by ', 'Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson', 'Phil Beauman', 'Jason Friedberg', 'Aaron Seltzer']",,20000000.0,78400000.0,Success
Java Heat,Conor Allyn,"['Conor Allyn', 'Rob Allyn', 'Seth Baron']",Shane Daly,,103,2013-04-18,"['IFC Films', 'IM Global']",,Rob Allyn,"['Kellan Lutz', 'Mickey Rourke', 'Ario Bayu', 'Atiqah Hasiholan', 'Rudy Wowor']",Harvey Rosenstock,Justin Caine Burnett,,,,15000000.0,189739.0,Failure
Home Run,David Boyd,"Carol Spann Mathews, Tom Newman",David Boyd,United States,113,2013-04-19,,English,"Brian Brightly, Candace Lee, Eric Newman, Melanie Wistar","['Scott Elrod', ' ', ' Dorian Brown ', ' Charles Henry Dyson Adrian']",Ken Conrad,Scott Allan Mathews,Samuel Goldwyn Films / Provident Films,,,,2861020.0,
The Lords of Salem,Rob Zombie,"['Rob Zombie', 'Jason Blum', 'Andy Gould', 'Oren Peli']",Brandon Trost,,101,2012-09-10,"['Alliance Films (Canada)', 'Anchor Bay Films (United States)', 'Entertainment One', 'Momentum Pictures (United Kingdom)']",English,Rob Zombie,"['Sheri Moon Zombie', 'Bruce Davison', 'Jeff Daniel Phillips', 'Ken Foree', 'Patricia Quinn', 'Dee Wallace', 'María Conchita Alonso', 'Judy Geeson', 'Meg Foster']",Glenn Garland,"['John 5', 'Griffin Boice']","['Haunted Movies', 'IM Global']",,,1500000.0,1500000.0,Failure
Oblivion,Joseph Kosinski,"['Peter Chernin', 'Dylan Clark', 'Duncan Henderson', 'Joseph Kosinski', 'Barry Levine']",Claudio Miranda,United States,124,2013-03-26,Universal Pictures,English,"['Karl Gajdusek', 'Michael deBruyn']","['Tom Cruise', 'Morgan Freeman', 'Olga Kurylenko', 'Andrea Riseborough', 'Nikolaj Coster-Waldau', 'Melissa Leo']",Richard Francis-Bruce,"['M83', 'Anthony Gonzalez', 'Joseph Trapanese']","['Relativity Media', 'Chernin Entertainment', 'Monolith Pictures', 'Radical Studios']","['Oblivion', 'by Joseph Kosinski']",,120000000.0,287900000.0,Success
At Any Price,Ramin Bahrani,"['Ramin Bahrani', 'Pamela Koffler', 'Justin Nappi', 'Teddy Schwarzman', 'Kevin Turen', 'Christine Vachon']",Michael Simmonds,United States,104,2012-08-30,Sony Pictures Classics,English,"['Ramin Bahrani', 'Hallie Elizabeth Newton']","['Dennis Quaid', 'Zac Efron', 'Kim Dickens', 'Heather Graham', 'Clancy Brown']",Douglas Aibel,Dickon Hinchliffe,"['Big Indie Pictures', 'Black Bear Pictures', 'Cineric', 'Killer Films', 'Noruz Films', 'Treehouse Pictures']",,,,487455.0,
Arthur Newman,Dante Ariola,"['Mac Cappuccino', 'Becky Johnston', 'Brian Oliver', 'Alisa Tager']",Eduard Grau,United States,93,2012-09-10,"['Cinedigm Entertainment (United States)', 'Focus Features International (international)']",English,Becky Johnston,"['Colin Firth', 'Emily Blunt', 'Anne Heche']",Olivier Bugge Coutte,Nick Urata,"['Vertebra Films', 'Cross Creek Pictures']",,,,207853.0,
The Big Wedding,Justin Zackham,"['Justin Zackham', 'Anthony Katagas', 'Clay Pecorin', 'Richard Salvatore', 'Harry J. Ufland']",Jonathan Brown,United States,89,2013-04-26,Lionsgate,English,Justin Zackham,"['Robert De Niro', 'Katherine Heigl', 'Diane Keaton', 'Amanda Seyfried', 'Topher Grace', 'Susan Sarandon', 'Robin Williams', 'Ben Barnes', 'Christine Ebersole', 'David Rasche', 'Patricia Rae', 'Ana Ayora']",Jon Corn,Nathan Barr,"['Two Ton Films', 'Millennium Films']","['Mon frère se marie', 'by ', 'Jean-Stéphane Bron', ' and Karine Sudan']",,35000000.0,46500000.0,Failure
Mud,Jeff Nichols,"['Lisa Maria Falcone', 'Sarah Green', 'Aaron Ryder']",Adam Stone,United States,130,2012-05-26,"['Lionsgate', 'Roadside Attractions']",English,Jeff Nichols,"['Matthew McConaughey', 'Tye Sheridan', 'Sam Shepard', 'Michael Shannon', 'Joe Don Baker', 'Ray McKinnon', 'Sarah Paulson', 'Paul Sparks', 'Jacob Lofland', 'Reese Witherspoon']",Julie Monroe,David Wingo,"['Everest Entertainment', 'Brace Cove Productions', 'FilmNation Entertainment']",,,10000000.0,32600000.0,Success
Pain & Gain,Michael Bay,"['Michael Bay', 'Ian Bryce', 'Donald De Line']",Ben Seresin,United States,129,2013-04-11,Paramount Pictures,English,"['Christopher Markus', 'Stephen McFeely']","['Mark Wahlberg', 'Dwayne Johnson', 'Anthony Mackie', 'Tony Shalhoub', 'Ed Harris']","['Thomas A. Muldoon', 'Joel Negron']",Steve Jablonsky,"['Paramount Pictures', 'De Line Pictures', 'Bay Films', 'Seven Bucks Productions']","['Pain & Gain', 'by Pete Collins']",,26000000.0,86200000.0,Success
Iron Man 3,Shane Black,Kevin Feige,John Toll,United States,131,2013-04-14,"['Walt Disney Studios', 'Motion Pictures']",English,"['Shane Black', 'Drew Pearce']","['Robert Downey Jr.', 'Gwyneth Paltrow', 'Don Cheadle', 'Guy Pearce', 'Rebecca Hall', 'Stéphanie Szostak', 'James Badge Dale', 'William Sadler', 'Miguel Ferrer', 'Jon Favreau', 'Ben Kingsley']","['Jeffrey Ford', 'Peter S. Elliot']",Brian Tyler,Marvel Studios,"['Stan Lee', 'Don Heck', 'Larry Lieber', 'Jack Kirby']",,200000000.0,1215000000.0,Success
Greetings from Tim Buckley,Daniel Algrant,"['Patrick Milling-Smith', 'Fred Zollo', 'John Hart', 'Amy Nauiokas']",Andrij Parekh,United States,99,2012-09-09,Focus World,English,"['Daniel Algrant', 'Emma Sheanshang', 'David Brendel']","['Penn Badgley', 'Imogen Poots']",Bill Pankow,,Tribeca Film,,,,11157.0,
The Iceman,Ariel Vromen,"['Ariel Vromen', 'Ehud Bleiberg', 'Avi Lerner']",Bobby Bukowski,United States,106,2012-08-30,Millennium Entertainment,English,"['Ariel Vromen', 'Morgan Land']","['Michael Shannon', 'Winona Ryder', 'James Franco', 'Ray Liotta', 'Chris Evans', 'David Schwimmer', 'Robert Davi', 'Danny Abeckaser']",Danny Rafic,Haim Mazar,"['Bleiberg Entertainment', 'Rabbit Bandini Productions']","['The Iceman: The True Story of a Cold-Blooded Killer', 'by Anthony Bruno']",,13500000.0,4600000.0,Failure
Kiss of the Damned,Alexandra Cassavetes,"['Jen Gatien', 'Alex Orlovsky']",Tobias Datum,United States,97,2012-09-07,Magnet Releasing,English,Alexandra Cassavetes,"['Joséphine de La Baume', 'Milo Ventimiglia', 'Roxane Mesquida', 'Michael Rapaport', 'Riley Keough', 'Anna Mouglalis']","['Taylor Gianotas', 'John F. Lyons']",Steven Hufsteter,"['Deerjen Films ', 'Verisimilitude', 'Bersin Pictures', 'Venture Forth']",,,,14752.0,
What Maisie Knew,"['Scott McGehee', 'David Siegel']","['Daniel Crown', 'Daniela Taplin Lundberg', 'William Teitler', 'Charles Weinstock']",Giles Nuttgens,,99,2012-09-07,Millennium Entertainment,English,"['Carroll Cartwright', 'Nancy Doyne']","['Julianne Moore', 'Alexander Skarsgård', 'Onata Aprile', 'Joanna Vanderham', 'Steve Coogan']",Madeleine Gavin,Nick Urata,"['Red Crown Productions', 'Dreambridge Films', 'Fortissimo Films', 'Prospero Pictures']","['What Maisie Knew', 'by ', 'Henry James']",,5000000.0,2700000.0,Failure
Aftershock,Nicolás López,"['Eli Roth', 'Brian Oliver', 'Miguel Asensio']",Antonio Quercia,,89,2012-09-11,"['Dimension Films', 'RADiUS-TWC', ' (United States)', 'Walt Disney Studios', 'Motion Pictures', ' (Chile)']",English,"['Nicolás López', 'Eli Roth', 'Guillermo Amoedo']","['Eli Roth', 'Andrea Osvárt', 'Ariel Levy', 'Natasha Yarovenko', 'Nicolas Martinez', 'Lorenza Izzo']",Diego Macho Gómez,Manuel Riviero,"['Cross Creek Pictures', 'Dragonfly Entertainment']",,"['Nicolás López', ' Eli Roth']",2000000.0,294696.0,Failure
