Title,Directed by,Produced by,Cinematography,Country,Running Time (int),Release Date (datetime),Distributed by,Language,Written by,Starring,Edited by,Music by,Production companies,Based on,Story by,Budget (float),Box Office (float),Box Office Status
Garbage Dreams,Mai Iskander,Mai Iskander,Mai Iskander,United States,79,2009-04-03,,,,,,,,,,,,
Sweetgrass,Lucien Castaing-Taylor,Ilisa Barbash,Lucien Castaing- Taylor,United States,101,2009-02-04,Cinema Guild,English,,,,,,,,,,
Daybreakers,The Spierig Brothers,"['Chris Brown', 'Sean Furst', 'Bryan Furst']",Ben Nott,,98,2009-09-11,"['Lionsgate (United States)', 'Hoyts Distribution', ' (Australia)']",English,The Spierig Brothers,"['Ethan Hawke', 'Willem Dafoe', 'Claudia Karvan', 'Michael Dorman', 'Sam Neill', 'Vince Colosimo', 'Isabel Lucas']",Matt Villa,Christopher Gordon,"['Lionsgate', 'Screen Australia', 'Pictures in Paradise', 'Film Finance Corporation Australia', 'Pacific Film & Television Commission', 'Furst Films']",,,20000000.0,51400000.0,Success
Leap Year,Anand Tucker,"['Gary Barber', 'Chris Bender', 'Roger Birnbaum', 'Jonathan Glickman', 'Jake Weiner']",Newton Thomas Sigel,,100,2010-01-06,"['Universal Pictures (United States)', 'Optimum Releasing (United Kingdom and Ireland)']",English,"['Harry Elfont', 'Deborah Kaplan']","['Amy Adams', 'Matthew Goode', 'Adam Scott', 'John Lithgow']",Nick Moore,Randy Edelman,"['Spyglass Entertainment', 'BenderSpink']",,,19000000.0,32700000.000000004,Failure
Youth in Revolt,Miguel Arteta,David Permut,Chuy Chávez,United States,89,2009-10-19,Dimension Films,English,Gustin Nash,"['Michael Cera', 'Portia Doubleday', 'Jean Smart', 'Mary Kay Place', 'Justin Long', 'Fred Willard', 'Ray Liotta', 'Steve Buscemi']","['Pamela Martin', 'Andy Keir']",John Swihart,"['Permut', 'Shangri-La Entertainment']","['Youth in Revolt', 'by ', 'C.D. Payne']",,18000000.0,19700000.0,Failure
Bitch Slap,Rick Jacobson,"['Eric Gruendemann', 'Rick Jacobson']",Stuart Asbjornsen,United States,109,2009-09-14,"['Freestyle Releasing', 'IM Global', 'Summit Entertainment']",English,"['Rick Jacobson', 'Eric Gruendemann']","['Julia Voth', 'Erin Cummings', 'America Olivo', 'Ron Melendez', 'William Gregory Lee', 'Minae Noji', 'Michael Hurst']","['Joe McFadden', 'Corey Yaktus']",John R. Graham,Epic Slap,,,,514537.0,
Crazy on the Outside,Tim Allen,"['Brian Reilly', 'Brett Gregory', 'Anastasia Stanecki']",Robbie Greenberg,United States,96,2010-01-08,Freestyle Releasing,English,"['Judd Pillot', 'John Peaslee']","['Tim Allen', 'Sigourney Weaver', 'Jeanne Tripplehorn', 'J. K. Simmons', 'Julie Bowen', 'Kelsey Grammer', 'Ray Liotta']",Scott Conrad,David Newman,Boxing Cat Films,,,,88335.0,
Waiting for Armageddon,"Kate Davis , Franco Sacchi , David Heilbroner","['Franco Sacchi', 'David Heilbroner']",,United States,74,2009-01-28,"['Q-Ball Productions Inc', 'Eureka Film Productions LLC']",English,,,,Gary Lionelli,,,,,,
Wonderful World,Joshua Goldin,"['Miranda Bailey', 'Matthew Leutwyler', 'Glenn Williamson']",Daniel Shulman,United States,89,2009-04-27,Magnolia Pictures,English,Joshua Goldin,"['Matthew Broderick', 'Sanaa Lathan', 'Michael K. Williams', 'Jodelle Ferland', 'Jesse Tyler Ferguson', 'Ally Walker', 'Philip Baker Hall']",Jeff Canavan,Craig Richey,"['Ambush Entertainment', 'Back Lot Pictures', 'Cold Iron Pictures']",,,3000000.0,9309.0,Failure
The Book of Eli,The Hughes Brothers,"['Joel Silver', 'Denzel Washington', 'Broderick Johnson', 'Andrew A. Kosove', 'David Valdes']",Don Burgess,United States,118,2010-01-15,"['Warner Bros. Pictures', ' (North America)', 'Summit Entertainment', ' (International)']",English,Gary Whitta,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Frances de la Tour', 'Michael Gambon']",Cindy Mollo,"['Atticus Ross', 'Leopold Ross', 'Claudia Sarne']","['Alcon Entertainment', 'Silver Pictures']",,,80000000.0,157100000.0,Failure
The Spy Next Door,Brian Levant,Robert Simonds,Dean Cundey,United States,94,2009-12-22,"['Lionsgate', ' (United States)', 'Mandate Pictures', ' (International)']",English,"['Jonathan Bernstein', 'James Greer', 'Gregory Poirier']","['Jackie Chan', 'Amber Valletta', 'Madeline Carroll', 'Will Shadley', 'Magnús Scheving', 'Billy Ray Cyrus', 'George Lopez']",Lawrence Jordan,David Newman,Relativity Media,,"['Jonathan Bernstein', 'James Greer']",28000000.0,45200000.0,Failure
44 Inch Chest,Malcolm Venville,"['Richard Brown', 'Steve Golin']",Daniel Landin,United Kingdom,95,2009-10-19,Momentum Pictures,English,"['Louis Mellis', 'David Scinto']","['Ray Winstone', 'Ian McShane', 'John Hurt', 'Tom Wilkinson', 'Stephen Dillane', 'Joanne Whalley']",Rick Russell,Angelo Badalamenti,Anonymous Content,,,,247553.0,
Fish Tank,Andrea Arnold,"['Nick Laws', 'Kees Kasander']",Robbie Ryan,United Kingdom,123,2009-05-14,Curzon Artificial Eye,English,Andrea Arnold,"['Katie Jarvis', 'Michael Fassbender', 'Kierston Wareing', 'Rebecca Griffiths', 'Harry Treadaway', 'Sydney Mary Nash']",Nicolas Chaudeurge,Steel Pulse,"['BBC Films', 'UK Film Council', 'Kasander Film Company', 'Limelight Communication', 'ContentFilm']",,,3000000.0,5900000.0,Failure
House of Numbers: Anatomy of an Epidemic,Brent Leung,"['Brent Leung', 'Ursula Rowan']","['Matt Coale', 'Pouria Montazeri']",United States,90,2009-06-21,,English,Llewellyn Chapman,Brent Leung,"['Brent Leung', 'Ursula Rowan']",Joel Diamond,,,,,,
Extraordinary Measures,Tom Vaughan,"['Michael Shamberg', 'Stacey Sher', 'Carla Santos']",Andrew Dunn,United States,106,2010-01-22,"['CBS Films', ' (North America)', 'Sony Pictures Releasing International', ' (International)']",English,Robert Nelson Jacobs,"['Brendan Fraser', 'Harrison Ford', 'Keri Russell']",Anne V. Coates,Andrea Guerra,Double Feature Films,"['The Cure: How a Father Raised $100 Million — And Bucked the Medical Establishment — in a Quest to Save His Children', 'by ', 'Geeta Anand']",,31000000.0,15000000.0,Failure
Legion,Scott Stewart,"['David Lancaster', 'Michel Litvak']",John Lindley,United States,100,2010-01-22,Sony Pictures Releasing,English,"['Peter Schink', 'Scott Stewart']","['Paul Bettany', 'Lucas Black', 'Tyrese Gibson', 'Adrianne Palicki', 'Charles S. Dutton', 'Jon Tenney', 'Kevin Durand', 'Willa Holland', 'Kate Walsh', 'Dennis Quaid']",Steven Kemper,John Frizzell,"['Screen Gems', 'Bold Films']",,,26000000.0,67900000.0,Success
Tooth Fairy,Michael Lembeck,"['Mark Ciardi', 'Gordon Gray', 'Jason Blum']",David Tattersall,,101,2010-01-22,20th Century Fox,English,"['Lowell Ganz', 'Babaloo Mandel', 'Joshua Sternin', 'Jennifer Ventimilia', 'Randi Mayem Singer']","['Dwayne Johnson', 'Ashley Judd', 'Julie Andrews']",David Finfer,George S. Clinton,"['Walden Media', 'Mayhem Pictures', 'Blumhouse Productions', 'Dune Entertainment']",,Jim Piddock,48000000.0,112500000.0,Success
Creation,Jon Amiel,Jeremy Thomas,Jess Hall,United Kingdom,108,2009-09-25,Icon Film Distribution,English,John Collee,"['Paul Bettany', 'Jennifer Connelly', 'Jeremy Northam', 'Toby Jones', 'Benedict Cumberbatch', 'Jim Carter', 'Bill Paterson', 'Martha West']",Melanie Oliver,Christopher Young,"['Ocean Pictures', 'HanWay Films', 'BBC Films', 'Recorded Picture Company']","[""Annie's Box"", 'by ', 'Randal Keynes']",,,,
The Girl on the Train,André Téchiné,,Julien Hirsch,France,105,2009-03-18,Strand Releasing,French,"['André Téchiné', 'Odile Barski ', 'Jean-Marie Besset (play)']","['Emilie Dequenne', ' ', 'Catherine Deneuve', ' ', 'Michel Blanc']",Martine Giordano,Philippe Sarde,,,,5800000.0,1500000.0,Failure
Soundtrack for a Revolution,"['Bill Guttentag', 'Dan Sturman']","['Joslyn Barnes', 'Jim Czarnecki', 'Bill Guttentag', 'Dylan Nelson', 'Dan Sturman']","['Buddy Squires', 'Jon Else', 'Stephen Kazmierski']",,86,,,English,"['Bill Guttentag', 'Dan Sturman']","['The Roots', 'John Legend', 'Wyclef Jean']",Jeffrey Doe,Phil Marshall,,,,,,
To Save a Life,Brian Baugh,Jim Britts,C. Clifford Jones,United States,120,2009-11-05,Samuel Goldwyn Films,English,Jim Britts,"['Randy Wayne', 'Deja Kreutzberg', 'Joshua Wiegel']",Dan O'Brien,Timothy Michael Wynn,"['New Song Pictures', 'Outreach Films', 'Accelerated Entertainment']",,,500000.0,3700000.0,Success
Bad Biology,Frank Henenlotter,"R.A. ""The Rugged Man"" Thorburn",Nick Deeg,United States,85,2008-04-04,"['Media Blasters', 'Fever Dreams']",English,"['Frank Henenlotter', 'R.A. ""The Rugged Man"" Thorburn']","['Charlee Danielson', 'Anthony Sneed']","['Albert Cadabra', 'Frank Henenlotter', 'Scooter McCrae']","['Josh Glazer', 'Prince Paul']",Bad Biology,,,,,
Edge of Darkness,Martin Campbell,"['Graham King', 'Tim Headington', 'Michael Wearing']",Phil Meheux,,117,2010-01-29,"['Warner Bros. Pictures (North America, Latin America and Spain)', 'Icon Film Distribution (United Kingdom, Australia and New Zealand)']",English,"['William Monahan', 'Andrew Bovell']","['Mel Gibson', 'Ray Winstone', 'Danny Huston', 'Bojana Novakovic']",Stuart Baird,Howard Shore,GK Films,"['Edge of Darkness', 'by ', 'Troy Kennedy Martin']",,80000000.0,81100000.0,Failure
When in Rome,Mark Steven Johnson,"['Mark Steven Johnson ', 'Gary Foster ', 'Andrew Panay']",John Bailey,United States,91,2010-01-29,"['Walt Disney Studios', 'Motion Pictures']",English,"['Mark Steven Johnson ', 'David Diamond', ' ', 'David Weissman']","['Kristen Bell', ' ', 'Josh Duhamel', ' ', 'Will Arnett', ' ', 'Jon Heder', ' ', 'Dax Shepard', ' ', 'Danny DeVito', ' ', 'Anjelica Huston']",Ryan Folsey,Christopher Young,Touchstone Pictures,,,28000000.0,43000000.0,Failure
Preacher's Kid,Stan Foster,"['Marc Bienstock', 'Richard J. Cook', 'Matthew Crouch', 'Stan Foster', 'Darryl Taja']",Dave Perkal,United States,110,2010-01-29,Warner Premiere,English,Stan Foster,"['LeToya Luckett', ""Rae'Ven Larrymore Kelly"", 'Kiki Sheard', 'Durrell ""Tank"" Babbs', 'Clifton Powell', 'Gregory Alan Williams', 'Sharif Atkins', 'Trey Songz', 'Tammy Townsend', 'Essence Atkins', 'Ella Joyce']",Richard Nord,,Gener8Xion Entertainment,,,3000000.0,515065.0,Failure
North Face,Philipp Stölzl,"['Boris Schönfelder', 'Danny Krausz', 'Benjamin Herrmann']",Kolja Brandt,,121,2008-10-09,,German,"['Christoph Silber', 'Rupert Henning', 'Johannes Naber', 'Philipp Stölzl']","['Benno Fürmann', 'Florian Lukas', 'Johanna Wokalek', 'Ulrich Tukur']",Sven Budelmann,Christian Kolonovits,,,,,,
Saint John of Las Vegas,Hue Rhodes,"['Mark Burton', 'Matt Wall', 'Spike Lee', 'Steve Buscemi', 'Stanley Tucci']",Giles Nuttgens,United States,85,2009-06-10,IndieVest Pictures,English,Hue Rhodes,"['Steve Buscemi', 'Romany Malco', 'Sarah Silverman', 'Peter Dinklage', 'Tim Blake Nelson']",Annette Davey,David Torn,Circle of Confusion,,Dante Alighieri,2000000.0,102647.0,Failure
Ajami,"['Scandar Copti', 'Yaron Shani']","['Moshe Danon', 'Thanassis Karathanos', 'Talia Kleinhendler']",Boaz Yehonatan Yaacov,,120,2009-05-22,,,"['Scandar Copti', 'Yaron Shani']","['Fouad Habash', 'Ibrahim Frege', 'Scandar Copti', 'Shahir Kabaha', 'Eran Naim']","['Scandar Copti', 'Yaron Shani']",Rabih Boukhari,,,,1000000.0,2200000.0,Failure
Dear John,Lasse Hallström,"['Marty Bowen', 'Wyck Godfrey', 'Ryan Kavanaugh']",Terry Stacey,United States,107,2010-02-05,"['Sony Pictures Releasing (United States)', 'Lionsgate (International)']",English,Jamie Linden,"['Channing Tatum', 'Amanda Seyfried', 'Henry Thomas', 'Scott Porter', 'Richard Jenkins']",Kristina Boden,Deborah Lurie,"['Screen Gems', 'Relativity Media', 'Temple Hill Entertainment']","['Dear John', 'by ', 'Nicholas Sparks']",,25000000.0,115000000.0,Success
From Paris with Love,Pierre Morel,India Osborne,Michel Abramowicz,France,92,2010-02-05,EuropaCorp Distribution,,Adi Hasak,"['John Travolta', 'Jonathan Rhys Meyers', 'Kasia Smutniak', 'Richard Durden']",Frédéric Thoraval,David Buckley,"['EuropaCorp', 'M6', 'Eclair Films', 'Canal+']",,Luc Besson,52000000.0,52830951.0,Failure
District 13: Ultimatum,Patrick Alessandrin,Luc Besson,Jean-François Hensgens,France,106,2009-02-18,EuropaCorp,French,Luc Besson,"['Cyril Raffaelli', 'David Belle', 'Philippe Torreton', 'Daniel Duval', 'Élodie Yung']",,"['Da Octopusss', 'Trak Invaders']","['EuropaCorp', 'TF1 Films Production', 'CiBy 2000']",,,13600000.0,14100000.0,Failure
Eyes Wide Open,Haim Tabakman,Raphael Katz,Axel Schneppat,Israel,91,2009-05-20,Peccadillo Pictures,Hebrew,Merav Doster,"['Ran Danker', 'Zohar Strauss']",Dov Steuer,Nathaniel Méchaly,,,,,276576.0,
Frozen,Adam Green,"['Peter Block', 'Cory Neal']",Will Barratt,United States,93,2010-01-24,Anchor Bay Films,English,Adam Green,"['Shawn Ashmore', 'Kevin Zegers', 'Emma Bell']",Ed Marx,Andy Garfield,"['A Bigger Boat', 'ArieScope Pictures']",,,,3800000.0,
Shinjuku Incident,Derek Yee,"['Willie Chan', 'Solon So']",Kita Nobayasu,,119,2009-04-02,"['JCE Movies Limited', 'Lark Films Distribution']",,"['Derek Yee', 'Chun Tin-nam']","['Jackie Chan', 'Naoto Takenaka', 'Daniel Wu', 'Xu Jinglei', 'Fan Bingbing']","['Kong Chi-leung', 'Cheung Ka-fai']",Peter Kam,,,,15000000.0,5461200.0,Failure
Terribly Happy,Henrik Ruben Genz,"['Tina Dalhoff', 'Thomas Gammeltoft']",Jørgen Johansson,Denmark,90,2008-10-02,,Danish,"['Henrik Ruben Genz', 'Dunja Gry Jensen']","['Jakob Cedergren', 'Lene Maria Christensen']",Kasper Leick,Kaare Bjerkø,,"['Frygtelig lykkelig', 'by Erling Jepsen']",,,2828984.0,
Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,"['Karen Rosenfelt', 'Chris Columbus', 'Michael Barnathan', 'Mark Radcliffe']",Stephen Goldblatt,,119,2010-02-02,20th Century Fox,English,Craig Titley,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Sean Bean', 'Pierce Brosnan', 'Steve Coogan', 'Rosario Dawson', 'Catherine Keener', 'Kevin McKidd', 'Joe Pantoliano', 'Uma Thurman']",Peter Honess,Christophe Beck,"['Fox 2000 Pictures', 'Dune Entertainment', '1492 Pictures', 'Sunswept Entertainment']","['The Lightning Thief', 'by ', 'Rick Riordan']",,95000000.0,226400000.0,Success
My Name Is Khan,Karan Johar,"['Hiroo Yash Johar', 'Gauri Khan']",Ravi K. Chandran,,161,2010-02-10,"['United States:', 'Fox Searchlight Pictures', 'India:', 'Fox Star Studios', 'China:', 'Huaxia Film Distribution', 'International:', '20th Century Fox']",,Shibani Bathija,"['Shah Rukh Khan', 'Kajol']",Deepa Bhatia,Shankar–Ehsaan–Loy,"['Dharma Productions', 'Red Chillies Entertainment', 'Image Nation', 'Star China Media', 'Fox International Productions']",,,,,
Videocracy,Erik Gandini,"['Erik Gandini', 'Mikael Olsen']","['Manuel Alberto Claro', 'Lukas Eisenhauer']",,85,2009-08-28,,,Erik Gandini,"['Silvio Berlusconi', 'Flavio Briatore', 'Fabrizio Corona', 'Lele Mora', 'Simona Ventura']",Johan Söderberg,,,,,,,
Valentine's Day,Garry Marshall,"['Mike Karz', 'Wayne Allan Rice']",Charles Minsky,United States,125,2010-02-12,Warner Bros. Pictures,English,Katherine Fugate,"['Jessica Alba', 'Kathy Bates', 'Jessica Biel', 'Bradley Cooper', 'Eric Dane', 'Patrick Dempsey', 'Héctor Elizondo', 'Jamie Foxx', 'Jennifer Garner', 'Topher Grace', 'Anne Hathaway', 'Ashton Kutcher', 'Queen Latifah', 'Taylor Lautner', 'George Lopez', 'Shirley MacLaine', 'Emma Roberts', 'Julia Roberts', 'Taylor Swift']",Bruce Green,John Debney,"['New Line Cinema', 'Wayne Rice Films', 'Karz Entertainment']",,"['Katherine Fugate', 'Abby Kohn', 'Marc Silverstein']",52000000.0,216500000.0,Success
The Wolfman,Joe Johnston,"['Scott Stuber', 'Benicio del Toro', 'Rick Yorn', 'Sean Daniel']",Shelly Johnson,United States,103,2010-01-27,Universal Pictures,English,"['Andrew Kevin Walker', 'David Self']","['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving']","['Dennis Virkler', 'Walter Murch']",Danny Elfman,"['Universal Pictures', 'Relativity Media', 'Stuber Pictures']","['The Wolf Man', 'by ', 'Curt Siodmak']",,150000000.0,142600000.0,Failure
Celine: Through the Eyes of the World,Stéphane Laporte,Julie Snyder,,Canada,180,2010-02-16,The Hot Ticket,,,"['Celine Dion', 'René Angélil', 'René-Charles Angélil']",,,,,,,,
Lourdes,Jessica Hausner,"['Philippe Bober', 'Martin Gschlacht', 'Susanne Marian']",Martin Gschlacht,,96,2009-09-05,Sophie Dulac Distribution,French,Jessica Hausner,"['Sylvie Testud', 'Léa Seydoux', 'Bruno Todeschini', 'Elina Löwensohn']",Karina Ressler,,,,,2000000.0,530000.0,Failure
The Ghost Writer,Roman Polanski,"['Roman Polanski', 'Robert Benmussa', 'Alain Sarde']",Paweł Edelman,,128,2010-02-12,"['Optimum Releasing', ' ', '(United Kingdom)', 'Pathé Distribution', ' ', '(France and Switzerland)', 'Kinowelt Filmverleih', ' ', '(Germany)']",English,"['Robert Harris', 'Roman Polanski']","['Ewan McGregor', 'Pierce Brosnan', 'Kim Cattrall', 'Olivia Williams', 'Tom Wilkinson', 'Timothy Hutton', 'Jon Bernthal', 'David Rintoul', 'Robert Pugh', 'Eli Wallach']",Hervé de Luze,Alexandre Desplat,,"['The Ghost', 'by Robert Harris']",,45000000.0,60200000.0,Failure
Shutter Island,Martin Scorsese,"['Mike Medavoy', 'Arnold W. Messer', 'Bradley J. Fischer', 'Martin Scorsese']",Robert Richardson,United States,139,2010-02-13,Paramount Pictures,English,Laeta Kalogridis,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson', 'Max von Sydow']",Thelma Schoonmaker,,"['Phoenix Pictures', 'Sikelia Productions', 'Appian Way Productions']","['Shutter Island', 'by ', 'Dennis Lehane']",,80000000.0,294800000.0,Success
The Good Guy,Julio DePietro,"['Linda Moran', 'Rene Bastian', 'Julio DePietro']",,United States,91,2009-04-26,Roadside Attractions,English,Julio DePietro,"['Alexis Bledel', 'Scott Porter', 'Bryan Greenberg', 'Andrew McCarthy', 'Aaron Yoo']",Ray Hubley,Kurt Oldman and Tomandandy,Belladonna Productions Movie Studio,,,10000000.0,106460.0,Failure
Happy Tears,Mitchell Lichtenstein,Joyce M. Pierpoline,Jamie Anderson,United States,95,2009-02-11,Roadside Attractions,English,Mitchell Lichtenstein,"['Parker Posey', 'Demi Moore', 'Rip Torn', 'Billy Magnussen', 'Sebastian Roché', 'Ellen Barkin']",Joe Landauer,Robert Miller,,,,,22464.0,
The Red Baron,Nikolai Müllerschön,"['Dan Maag', 'Thomas Reisser', 'Roland Pellegrino']",Klaus Merkel,,123,2008-04-10,"['Warner Bros. Pictures', 'Monterey Media']",,Nikolai Müllerschön,"['Matthias Schweighöfer', 'Joseph Fiennes', 'Til Schweiger', 'Lena Headey']",Christian Lonk,"['Stefan Hansen', 'Dick Reichardt']",Niama Film,,,,,
Cop Out,Kevin Smith,"['Marc Platt', 'Polly Johnsen', 'Michael Tadross']",David Klein,United States,107,2010-02-26,Warner Bros. Pictures,English,"['Robb Cullen', 'Mark Cullen']","['Bruce Willis', 'Tracy Morgan', 'Adam Brody', 'Kevin Pollak', 'Guillermo Diaz', 'Seann William Scott']",Kevin Smith,Harold Faltermeyer,"['Warner Bros. Pictures', 'Marc Platt Productions']",,,30000000.0,55600000.0,Failure
The Crazies,Breck Eisner,"['Michael Aguilar', 'Dean Georgaris', 'Rob Cowan']",Maxime Alexandre,,101,2010-02-26,"['Overture Films', 'Participant Media (United States)', 'Gulf Film (United Arab Emirates)', 'Paramount Vantage (International)']",English,"['Scott Kosar', 'Ray Wright']","['Timothy Olyphant', 'Radha Mitchell', 'Joe Anderson', 'Danielle Panabaker']",Billy Fox,Mark Isham,"['Overture Films', 'Participant Media', 'Imagenation Abu Dhabi']","['The Crazies', 'by ', 'George A. Romero']",,20000000.0,54800000.0,Success
The Art of the Steal,Don Argott,Sheena M. Joyce,Don Argott,United States,101,2009-09-12,IFC in Theaters,English,,,Demian Fenton,West Dylan Thordson,"['Maj Productions', '9.14 Pictures']",,,,,
Defendor,Peter Stebbings,Nicholas Tabarrok,David Greene,Canada,101,2009-09-12,Alliance Films,English,Peter Stebbings,"['Woody Harrelson', 'Elias Koteas', 'Michael Kelly', 'Sandra Oh', 'Kat Dennings']",Geoff Ashenhurst,John Rowley,"['Darius Films', 'Alliance Films']",,,,44462.0,
Easier with Practice,Kyle Patrick Alvarez,"['Cookie Carosella', 'David Melito']",David Rush Morrison,United States,100,2009-06-12,Lantern Lane Entertainment,English,Kyle Patrick Alvarez,"['Brian Geraghty', ""Kel O'Neill"", 'Marguerite Moreau', 'Jeanette Brox', 'Jenna Gavigan']",Fernando Collins,,Forty Second Productions,"['""What Are You Wearing?""', 'by ', 'Davy Rothbart']",,,,
Formosa Betrayed,Adam Kane,"['Will Tiao', 'Adam Kane', 'David Cluck']",Irek Hartowicz,United States,103,2009-07-24,,English,"['Will Tiao', 'Katie Swain', 'Charlie Stratton', 'Yann Samuell', 'Brian Askew', 'Nathaniel Goodman']","['James Van Der Beek', 'Wendy Crewson', 'John Heard', 'Will Tiao', 'Tzi Ma', 'Leslie Hope', 'Kenneth Tsang']",Howard E. Smith,Jeff Danna,Living Films,,,6000000.0,225000.0,Failure
A Prophet,Jacques Audiard,"['Lauranne Bourrachot', 'Martine Cassinelli', 'Pascal Caucheteux', 'Marco Cherqui']",Stéphane Fontaine,,155,2009-05-16,UGC Distribution,,"['Jacques Audiard', 'Thomas Bidegain', 'Abdel Raouf Dafri', 'Nicolas Peufaillit']","['Tahar Rahim', 'Niels Arestrup', 'Adel Bencherif']",Juliette Welfling,Alexandre Desplat,,,Abdel Raouf Dafri,13000000.0,17900000.0,Failure
The Yellow Handkerchief,Udayan Prasad,Arthur Cohn,Chris Menges,United States,102,2008-01-18,,English,Erin Dignam,"['William Hurt', 'Maria Bello', 'Kristen Stewart', 'Eddie Redmayne']",Christopher Tellefsen,"['Eef Barzelay', 'Jack Livesey']",Samuel Goldwyn Films,"['The Yellow Handkerchief', ' ', ' by ', 'Yoji Yamada']",,15500000.0,318623.0,Failure
Alice in Wonderland,Tim Burton,"['Richard D. Zanuck', 'Joe Roth', 'Suzanne Todd', 'Jennifer Todd']",Dariusz Wolski,United States,108,2010-02-25,Walt Disney Studios Motion Pictures,English,Linda Woolverton,"['Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas', 'Mia Wasikowska', 'Alan Rickman', 'Stephen Fry', 'Michael Sheen', 'Timothy Spall']",Chris Lebenzon,Danny Elfman,"['Walt Disney Pictures', 'Roth Films', 'The Zanuck Company', 'Team Todd']","[""Alice's Adventures in Wonderland"", ' and ', 'Through the Looking-Glass', 'by ', 'Lewis Carroll']",,200000000.0,1024999999.9999999,Success
Brooklyn's Finest,Antoine Fuqua,"['Elie Cohn', 'Basil Iwanyk', 'John Langley', 'John Thompson']",Patrick Murguia,United States,132,2009-01-16,Overture Films,English,Michael C. Martin,"['Richard Gere', 'Don Cheadle', 'Ethan Hawke', 'Wesley Snipes', 'Will Patton', 'Lili Taylor', ""Brían F. O'Byrne"", 'Shannon Kane', 'Ellen Barkin']",Barbara Tulliver,Marcelo Zarvos,"['Millennium Films', 'Thunder Road Pictures', 'Nu Image']",,,17000000.0,36400000.0,Failure
Green Zone,Paul Greengrass,"['Tim Bevan', 'Eric Fellner', 'Lloyd Levin', 'Paul Greengrass']",Barry Ackroyd,United Kingdom,115,2010-02-26,"['Universal Pictures (International)', 'StudioCanal (France)']",English,Brian Helgeland,"['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson', 'Amy Ryan', 'Khalid Abdalla', 'Jason Isaacs']",Christopher Rouse,John Powell,Working Title Films,"['Imperial Life in the Emerald City', 'by ', 'Rajiv Chandrasekaran']",,100000000.0,94900000.0,Failure
Our Family Wedding,Rick Famuyiwa,Edward Saxon,Julio Macat,United States,90,2010-03-12,Fox Searchlight Pictures,English,"['Wayne Conley', 'Malcolm Spellman', 'Rick Famuyiwa']","['Forest Whitaker', 'America Ferrera', 'Carlos Mencia', 'Regina King', 'Lance Gross']",Dirk Westervelt,Transcenders,,,Wayne Conley,,21409028.0,
Remember Me,Allen Coulter,"['Nicholas Osborne', 'Trevor Engelson', 'Erik Feig', 'Robert Pattinson']",Jonathan Freeman,United States,108,2010-03-01,Summit Entertainment,English,Will Fetters,"['Robert Pattinson', 'Emilie de Ravin', 'Chris Cooper', 'Lena Olin', 'Tate Ellington', 'Pierce Brosnan']",Andrew Mondshein,Marcelo Zarvos,Underground Films,,,16000000.0,56000000.0,Success
She's Out of My League,Jim Field Smith,"['Jimmy Miller', 'David Householter']",Jim Denault,United States,104,2010-03-12,Paramount Pictures,English,"['Sean Anders', 'John Morris']","['Jay Baruchel', 'Alice Eve', 'T.J. Miller', 'Mike Vogel', 'Nate Torrence', 'Krysten Ritter', 'Geoff Stults', 'Lindsay Sloane']",Dan Schalk,Michael Andrews,"['DreamWorks Pictures', 'Mosaic Media Group']",,,20000000.0,49800000.0,Success
Children of Invention,Tze Chun,"['Mynette Louie', 'Trevor Sagan']",Chris Teague,United States,86,2009-01-18,N/A,English,Tze Chun,"['Cindy Cheung', 'Michael Chen', 'Crystal Chiu']",Anna Boden,T. Griffin,,,,,,
Stolen,Anders Anderson,"['Anders Anderson', 'Al Corley', 'Josh Lucas', 'Devin Maurer', 'Bart Rosenblatt', 'Andy Steinman']",Andy Steinmann,United States,,2009-10-10,IFC Films,English,Glenn Taranto,"['Josh Lucas', 'Jon Hamm', 'Rhona Mitra', 'James Van Der Beek']",Anders Anderson,Trevor Morris,"['2 Bridges Productions', 'A2 Entertainment Group', 'Boy in the Box', 'Code Entertainment']",,,,7943.0,
Monsters,Gareth Edwards,"['Allan Niblo', 'James Richardson']",Gareth Edwards,United Kingdom,94,2010-03-13,Vertigo Films,English,Gareth Edwards,"['Scoot McNairy', 'Whitney Able']",['Colin Goudie'],Jon Hopkins,Vertigo Films,,,500000.0,4240000.0,Success
The Bounty Hunter,Andy Tennant,Neal H. Moritz,Oliver Bokelberg,United States,106,2010-03-19,Sony Pictures Releasing,English,Sarah Thorp,"['Jennifer Aniston', 'Gerard Butler', 'Christine Baranski']",Troy Takaki,George Fenton,"['Columbia Pictures', 'Relativity Media', 'Original Film']",,,45000000.0,136300000.0,Success
